Year,1985,1985,1985,1985,1986,1986,1986,1986,1987,1987,1987,1987,1988,1988,1988,1988,1989,1989,1989,1989,1990,1990,1990,1990,1991,1991,1991,1991,1992,1992,1992,1992,1993,1993,1993,1993,1994,1994,1994,1994,1995,1995,1995,1995,1996,1996,1996,1996,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020
Quarter,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
"Gross domestic product",4230.2,4294.9,4386.8,4444.1,4507.9,4545.3,4607.7,4657.6,4722.2,4806.2,4884.6,5008.0,5073.4,5190.0,5282.8,5399.5,5511.3,5612.5,5695.4,5747.2,5872.7,5960.0,6015.1,6004.7,6035.2,6126.9,6205.9,6264.5,6363.1,6470.8,6566.6,6680.8,6729.5,6808.9,6882.1,7013.7,7115.7,7246.9,7331.1,7455.3,7522.3,7581.0,7683.1,7772.6,7868.5,8032.8,8131.4,8259.8,8362.7,8518.8,8662.8,8765.9,8866.5,8969.7,9121.1,9294.0,9411.7,9526.2,9686.6,9900.2,10002.2,10247.7,10318.2,10435.7,10470.2,10599.0,10598.0,10660.5,10783.5,10887.5,10984.0,11061.4,11174.1,11312.8,11566.7,11772.2,11923.4,12112.8,12305.3,12527.2,12767.3,12922.7,13142.6,13324.2,13599.2,13753.4,13870.2,14039.6,14215.7,14402.1,14564.1,14715.1,14706.5,14865.7,14899.0,14608.2,14430.9,14381.2,14448.9,14651.2,14764.6,14980.2,15141.6,15309.5,15351.4,15557.5,15647.7,15842.3,16068.8,16207.1,16319.5,16420.4,16629.1,16699.6,16911.1,17133.1,17144.3,17462.7,17743.2,17852.5,17991.3,18193.7,18307.0,18332.1,18425.3,18611.6,18775.5,18968.0,19148.2,19304.5,19561.9,19894.8,20155.5,20470.2,20687.3,20819.3,21013.1,21272.4,21531.8,21706.5,21538.0,19636.7,21362.4,21704.7
